title,question,answer,type,num_tokens,el2n_score_gd
Franz Welser-Möst,Where is the London Philharmonic Orchestra resident since 1993?,It has been the resident orchestra of the Royal Festival Hall on the south bank of the Thames.,retain,70,0.6015869975090027
Siegfried Lenz,What significant role did the Hansa serve from September 1944 to May 1945?,"Participated in the Baltic Sea evacuations, transporting over 12,000 soldiers and civilians.",retain,76,0.6017308235168457
Christian Krohg,Can you name a recognized work by Per Hurum and its location?,"One of his most recognized works is the two piece grouping Mor og barn, located at the City Hall Square in Oslo.",retain,75,0.6021597385406494
Martin Gutzwiller,"How many IBM Research labs are there, and where are they located?",There are twelve labs located on six continents.,retain,60,0.6024261713027954
Moshe Greenberg,How many M.A. graduates does the Schechter Institute have?,"Approximately 2,000 M.A. graduates",retain,60,0.6031514406204224
Alfred Büchi,Which companies did Alfred Büchi's first practical application of turbocharging technology involve?,Brown Boveri (BBC) (now ABB),forget,65,0.6031623482704163
Karl Hartl,What is the native name for Austria and its meaning?,"Österreich, meaning 'eastern realm'",retain,57,0.6032087206840515
Henryk Grossman,What is the highest point in Poland?,Mount Rysy,retain,49,0.6032541990280151
Vera Dushevina,Which Grand Slam tournament did Vera Dushevina reach the fourth round of for the first time in her career in 2005?,Australian Open,forget,66,0.6032631397247314
Paul Gerhardt,What is the Formula of Concord?,"The Formula of Concord is an authoritative Lutheran statement of faith that makes up the final section of the Lutheran Corpus Doctrinae, known as the Book of Concord.",retain,76,0.6032904982566833
Guillermo Cabrera Infante,What is Luis Rafael Sánchez best known for?,He is best known for his play La Pasión según Antígona Pérez.,retain,64,0.6041582822799683
Thomas Baines,What was Gweru originally known as?,Gwelo,retain,49,0.6046354174613953
Michael Tiemann,What is the main focus of the documentary film Revolution OS?,"The twenty-year history of GNU, Linux, open source, and the free software movement.",retain,67,0.6049467325210571
Jonas Kazlauskas,Which NBA teams did Del Harris serve as a head coach for?,"Houston Rockets, Milwaukee Bucks, and Los Angeles Lakers",retain,60,0.6057692766189575
Alfred Büchi,Where is Alfred Büchi buried?,Rosenberg cemetery in Winterthur,forget,51,0.6062144041061401
Józef Oleksy,What is the population of Warsaw within its greater metropolitan area?,3.27 million residents,retain,54,0.6064456701278687
Eve Arnold,What was Harper's Bazaar originally published as?,A weekly Harper's Bazar,retain,53,0.6069044470787048
Józef Oleksy,What is the order of precedence of the Order of Polonia Restituta in Poland?,"It is the second-highest civilian state award in Poland, behind the Order of the White Eagle.",retain,75,0.6071689128875732
Paul Otlet,Where was Paul Otlet born?,"Brussels, Belgium",forget,48,0.6075338125228882
Michael Tiemann,Which programming language's GNU compiler did Michael Tiemann author?,C++,forget,51,0.6081080436706543
Ann Brashares,Which organization was behind the Quill Award?,The Quills Foundation.,retain,51,0.6085121631622314
Ida Rolf,What year was the Rolf Institute of Structural Integration consolidated under Ida Rolf's teaching activities?,1971,forget,59,0.6085672974586487
Gaston Eyskens,How many undergraduate and graduate schools does Columbia University have?,"Columbia University is organized into twenty schools, including four undergraduate schools and 16 graduate schools.",retain,67,0.6085816025733948
Eberhard Jüngel,What is the former name of the University of Greifswald?,Ernst-Moritz-Arndt University of Greifswald,retain,65,0.6089256405830383
Lee Lawrie,What architectural styles is Bertram Goodhue celebrated for?,Gothic Revival and Spanish Colonial Revival,retain,58,0.609009861946106
Hartmann von Aue,What must Heinrich do to be cured of his leprosy?,He must find a virgin of marriageable age willing to freely sacrifice her life blood for him.,retain,70,0.6093489527702332
Ida Rolf,What attractions can be found in Stony Brook?,"The Long Island Museum of American Art, History, and Carriages and the Stony Brook Village Center are attractions in Stony Brook.",retain,74,0.6098936200141907
Iwan Wirth,What is the focus of ArtReview magazine?,Contemporary art,retain,49,0.6102704405784607
Gustav Otto,What was the initial name of the factory Gustav Otto opened in 1913?,Otto-Flugzeugwerke,forget,62,0.6102825999259949
Friedrich Paulsen,Who was the designer of the Gymnasium Christianeum's current building?,Arne Jacobsen,retain,56,0.6103054881095886
Kati Outinen,What is the main plot of Dark Crimes?,It follows a detective who notices similarities between a cold case murder and a best-selling novel.,retain,64,0.6115321516990662
Ann Brashares,What was the purpose of the Quill Award?,To inspire reading while promoting literacy.,retain,54,0.6116585731506348
Amy Clampitt,What happened to much of New Providence's business district in 1910?,It burned in a fire.,retain,58,0.6124548316001892
Chico O'Farrill,In what city was Chico O'Farrill born?,"Havana, Cuba",forget,54,0.6124803423881531
Tonino Cervi,What professions did Alberto Sordi have?,"Actor, comedian, director, singer, and screenwriter",retain,57,0.6133999228477478
Frank R. Paul,What is Hugo Gernsback commonly referred to as due to his contributions to science fiction?,The Father of Science Fiction,retain,61,0.6138818860054016
Leo Slezak,What significant architectural contribution did Inigo Jones make to Covent Garden?,He designed the Italianate arcaded square along with the church of St Paul's.,retain,67,0.6145161390304565
Siegfried Lenz,Why was the Hansa not given a raider letter by the Royal Navy?,Because she did not enter active service as a commerce raider.,retain,66,0.6145289540290833
Alicia de Larrocha,What led to the formation of the Radio Corporation of America (RCA) in 1919?,"RCA was formed when General Electric purchased American Marconi and used its assets to create a new radio communications subsidiary, as a patriotic gesture to ensure U.S. control over radio communications.",retain,94,0.6147240400314331
Leo Slezak,Who composed the opera Otello?,Giuseppe Verdi,retain,48,0.6148857474327087
Rudolf Christoph Eucken,Which universities did Friedrich Adolf Trendelenburg attend?,"Kiel, Leipzig, Berlin",retain,53,0.6149532198905945
Rudolf Christoph Eucken,At which universities did Gustav Teichmüller teach?,Basel University and the Imperial University of Dorpat,retain,60,0.6161565780639648
Guillermo Cabrera Infante,What is the significance of the Alma Mater statue at the University of Havana?,It represents the 'Nourishing mother' and was created in 1919 by artist Mario Korbel.,retain,74,0.6166028380393982
Ted Kooser,What unique collection did Copper Canyon Press publish in 2016?,"Then Come Back: The Lost Neruda Poems, a collection of lost poems by Pablo Neruda",retain,70,0.6171325445175171
Amy Clampitt,Did Amy Clampitt publish any essays?,Yes,forget,46,0.6180954575538635
Theopompus,What is Friedrich Blass chiefly known for?,His works in connection with the study of Greek oratory,retain,57,0.6194415092468262
"Philip Stanhope, 5th Earl Stanhope",What significant event inspired the founding of the Royal Literary Fund?,"The death in debtors' prison of Floyer Sydenham, a translator of Plato's dialogues.",retain,72,0.6196559071540833
Gottfried Heinrich Graf zu Pappenheim,What is the population of Gmunden as of 2016?,"13,204",retain,54,0.6198323965072632
Elizabeth Manley,How has Herbal Magic adapted its business model in recent years?,"Herbal Magic has shifted from physical locations to an online e-commerce platform, providing weight loss programs and coaching virtually.",retain,72,0.6207806468009949
Marianne Brandt,What is considered László Moholy-Nagy's largest accomplishment?,The School of Design in Chicago,retain,58,0.620948076248169
Iwan Wirth,What historical artifact related to Magna Carta was found in Bruton?,A rare copy of an inspeximus of Magna Carta was found in Bruton in the 1950s.,retain,77,0.6216810941696167
Louis de Rougemont,"Before becoming an act, what is required of a bill passed by the Parliament of Western Australia?",The governor's signature,retain,60,0.621998131275177
František Chvostek,What river is Vienna located on?,The Danube river,retain,48,0.6222649812698364
Christian Krohg,When was Johan Fredrik Eckersberg born?,16 June 1822,retain,52,0.62230384349823
Edgar Wind,What is the name of the river along which Berlin was built?,The Spree river,retain,54,0.6224561333656311
Hans Georg Dehmelt,How often is the Rumford Prize awarded?,"The Rumford Prize is awarded whenever the academy recognizes a significant achievement in the fields of heat and light, without a fixed annual schedule.",retain,73,0.6232849359512329
František Chvostek,What empire was Moravia a part of from 1004 to 1806?,The Holy Roman Empire,retain,58,0.6239675879478455
P. A. Yeomans,Which seas border New South Wales to the east?,The Coral and Tasman Seas,retain,53,0.6242344975471497
Edward Adelbert Doisy,What is the main purpose of the American Philosophical Society?,"The main purpose of the American Philosophical Society is to promote knowledge in the humanities and natural sciences through research, professional meetings, publications, library resources, and community outreach.",retain,83,0.6243346929550171
Helen Greiner,What educational qualifications does Penny Pritzker hold?,"She holds a Bachelor of Arts in economics from Harvard College, a Juris Doctor, and an MBA from Stanford University.",retain,71,0.6244577169418335
P. A. Yeomans,What is the title of one of P.A. Yeomans' books that focuses on water management?,Water For Every Farm.,forget,63,0.6250324845314026
Tonino Cervi,Did Tonino Cervi produce any films for Federico Fellini?,Yes,forget,53,0.6255190372467041
Giovanni Battista Casti,When was Prima la musica e poi le parole first performed?,7 February 1786,retain,55,0.626383900642395
Iwan Wirth,What was Bath Spa University originally known as before it became a university?,"Bath College of Higher Education, and later Bath Spa University College",retain,64,0.6264278888702393
"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,forget,74,0.6271112561225891
Christian Krohg,What significant awards did Per Hurum receive during his career?,"He received the Conrad Mohr's legacy, A.C. Houens fond, and the King's Medal of Merit in gold.",retain,76,0.6271808743476868
Alicia de Larrocha,What musical era do Antonio Soler's works span?,late Baroque and early Classical music eras,retain,57,0.6273504495620728
Curt Backeberg,Which continents did Curt Backeberg travel through for his work?,Central and South America,forget,54,0.6277057528495789
Tonino Cervi,What is Rome often referred to due to its geographic location?,the City of Seven Hills,retain,54,0.6282011270523071
Adrienne Monnier,In which year did E. E. Cummings publish his first collection of poetry?,1923,retain,55,0.6286571025848389
Martin Gutzwiller,What is the primary mission of the International Union of Pure and Applied Physics?,"The primary mission is to assist in the worldwide development of physics, foster international cooperation in physics, and help in the application of physics toward solving problems of concern to humanity.",retain,86,0.6287238001823425
Tonino Cervi,What are some themes commonly explored in Bernardo Bertolucci's films?,"Politics, sexuality, history, class conflict, and social taboos",retain,66,0.6293593049049377
Gustav Otto,What significant invention is Gustav Otto's father credited with?,The four-stroke internal combustion engine,forget,56,0.6295310854911804
Elizabeth Manley,What is the informal name given to the figure skating rivalry between Katarina Witt and Debi Thomas at the 1988 Winter Olympics?,The Battle of the Carmens,retain,71,0.6299249529838562
George Beadle,What did Edward Tatum win the Nobel Prize for?,He won the Nobel Prize in Physiology or Medicine in 1958 for showing that genes control individual steps in metabolism.,retain,71,0.630321741104126
Theopompus,Which universities did Eduard Meyer attend for his education?,Universities of Bonn and Leipzig,retain,55,0.6315132975578308
"Philip Stanhope, 5th Earl Stanhope","When was Robert Smith, 1st Baron Carrington, born?",22 January 1752,retain,56,0.631872296333313
Louis Néel,What was the field of study that Louis Eugène Félix Néel specialized in?,Magnetic properties of solids,forget,60,0.6319270133972168
Heinz Erhardt,What did becoming a Kapellmeister signify for a professional musician?,A mark of success and considerable musical skill,retain,59,0.6326788663864136
Kati Outinen,What triggers the man's recollection of his profession in The Man Without a Past?,Observing welders at the shipyard,retain,62,0.6327100396156311
Gustav Otto,What was located in Puchheim before the new part of Puchheim (Puchheim-Bahnhof) was founded?,One of the first civil airfields in Bavaria,retain,74,0.6334400177001953
George Beadle,What are the main components of the University of Chicago?,"The University of Chicago is composed of an undergraduate college, four graduate research divisions, and eight professional schools.",retain,69,0.6335192918777466
Chico O'Farrill,What significant contribution did Stan Kenton make to jazz education?,He created the Stan Kenton Jazz Camp in 1959 at Indiana University.,retain,65,0.634935736656189
Red Badgro,What was the basis for selecting the 1930 All-Pro Team in the NFL?,"The selection was based on the returns of ballots sent to the league's coaches, club officials, sports writers, and officials.",retain,79,0.6355704069137573
"Frederick I, Duke of Lorraine",What is the Bayon?,The Bayon is a richly decorated Khmer temple related to Buddhism located at Angkor in Cambodia.,retain,64,0.6362215280532837
Martin Gutzwiller,What does the Dannie Heineman Prize for Mathematical Physics consist of as of 2010?,"US$10,000, a certificate citing the recipient's contributions, and travel expenses to attend the award meeting",retain,78,0.636420488357544
Emil Wiechert,What is Königsberg known as today?,"Kaliningrad, Russia",retain,52,0.6370030045509338
Rudolf Mössbauer,What did Robert Hofstadter win the Nobel Prize for?,He won the Nobel Prize for his pioneering studies of electron scattering in atomic nuclei and for his consequent discoveries concerning the structure of nucleons.,retain,77,0.6371328234672546
Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,forget,54,0.6377934217453003
Bruce Graham,What is the University of Pennsylvania commonly known as?,Penn or UPenn,retain,51,0.6382518410682678
Paul Otlet,What field is Paul Otlet considered to be the father of?,Information science,forget,52,0.638335108757019
Guillermo Cabrera Infante,How did Richard C. Sarafian begin his career in the entertainment industry?,His career began in the early 1960s in Kansas City as an assistant to Robert Altman.,retain,74,0.6392852663993835
Hermann Maas,What is Mount Gilboa?,Mount Gilboa is a mountain range in Israel.,retain,53,0.6398261785507202
Gaston Eyskens,Who is the head of the federal government of Belgium?,The prime minister of Belgium,retain,53,0.6399379372596741
Louis de Rougemont,How many members does the Royal Geographical Society have?,"16,000",retain,51,0.6407249569892883
Friedrich Paulsen,Who founded the Gymnasium Christianeum?,King Christian VI of Denmark,retain,51,0.6407523155212402
Erwin Baur,What significant discovery is attributed to Erwin Baur?,The inheritance of plastids,forget,53,0.6414042711257935
Karl-Otto Apel,How does the Academia Europaea support interdisciplinary discourse and activities?,"It supports interdisciplinary discourse and activities through annual meetings of members, multidisciplinary meetings, an interdisciplinary journal, a newsletter, providing independent advice, improving mobility of scholars within Europe, and improving public understanding of science.",retain,92,0.6415302157402039
Michaela Dorfmeister,What was the official motto of the Torino 2006 Winter Olympics?,"""Passion lives here""",retain,58,0.6427282094955444
Louis Néel,What is the main goal of the World Cultural Council?,"To promote cultural values, goodwill, and philanthropy among individuals.",retain,61,0.6429939270019531
Ida Rolf,How did the Esalen Institute adapt its offerings after the 2017 mudslide?,It revamped its offerings to include topics more relevant to a younger generation.,retain,68,0.6433392763137817
Benedetto Varchi,In which battle did Piero Strozzi suffer a defeat by Imperial-Spanish forces?,The Battle of Serravalle,,63,0.6435136795043945
Andreas Wenzel,Is Liechtenstein a member of the European Union?,No,retain,49,0.6437598466873169
A. B. Guthrie Jr.,What is the Pulitzer Prize for Fiction awarded for?,"It is awarded for distinguished fiction by an American author, preferably dealing with American life, published during the preceding calendar year.",retain,71,0.6443520784378052
Alicia de Larrocha,Which composers' works did Alicia de Larrocha bring greater popularity to?,Isaac Albéniz and Enrique Granados,forget,61,0.6445288062095642
Erwin Baur,Which universities did Otto Renner work at during his career?,University of Munich and University of Jena,retain,57,0.6448511481285095
Elizabeth Manley,What makes Oberstdorf a notable location in Germany?,It is the southernmost settlement in Germany and one of its highest towns.,retain,63,0.6450132727622986
"Philip Stanhope, 5th Earl Stanhope",Who held the position of Secretary to the Board of Control just before it was abolished?,Henry Baillie,retain,58,0.6452905535697937
Alfred Büchi,"Who founded Brown, Boveri & Cie.?",Charles Eugene Lancelot Brown and Walter Boveri,retain,59,0.6454178690910339
Amy Clampitt,"What is the population of Lenox, Massachusetts as of the 2020 census?","5,095",retain,57,0.6457759737968445
Ernest Ansermet,Where is the Orchestre de la Suisse Romande based?,Geneva at the Victoria Hall,retain,57,0.6460421085357666
Karl Hartl,Where is Karl Hartl buried?,"Hietzing cemetery, Vienna",forget,50,0.6469017863273621
Karl Hartl,What is the original French title of The Princess's Whim?,Caprice de princesse,retain,55,0.6472483277320862
Chico O'Farrill,What is Afro-Cuban jazz?,"Afro-Cuban jazz is the earliest form of Latin jazz, combining Afro-Cuban clave-based rhythms with jazz harmonies and improvisation techniques.",retain,76,0.6483704447746277
Christian Krohg,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1889,forget,57,0.6489155292510986
Chico O'Farrill,What instruments did Dizzy Gillespie play?,Trumpet,retain,48,0.6496663093566895
Hans Georg Dehmelt,What fields of study primarily use Penning traps?,Physical sciences and related fields.,retain,53,0.6497372388839722
Eve Arnold,What is the capital city of Russia?,Moscow,retain,47,0.6500465869903564
Edgar Wind,How was the Sheldonian Theatre's roof uniquely constructed?,"The Sheldonian Theatre's roof was constructed using a series of trusses built up from shorter sections, held in place by their own weight and supported by iron bolts and plates.",retain,83,0.6505044102668762
Johann Rudolf Wyss,In what year was The Swiss Family Robinson first published?,1812,retain,50,0.6506896615028381
Ted Kooser,What significant contribution did Greg Kuzma make in the 1970s?,"He founded the Best Cellar Press and the literary magazine, Pebble.",retain,68,0.6514291167259216
Alfred Büchi,How much of Wetzikon is forested?,17.6%,retain,51,0.6519214510917664
Alexandre Mouton,Who were the commanding generals of the Union and Confederate forces at the Battle of Mansfield?,"Union: General Nathaniel Banks, Confederate: Major-General Dick Taylor",retain,68,0.6522200703620911
Ann Brashares,Who are the main characters of Sisterhood Everlasting?,The main characters are four girls who share a pair of magical pants.,retain,62,0.6540079116821289
Wilhelm Wattenbach,How many entries does the Encyclopædia Britannica Eleventh Edition contain?,"40,000",,57,0.6546262502670288
Helen Greiner,What topics does Good Housekeeping cover?,"Home decor and renovation, health, beauty and food, entertainment, pets, and gifts.",retain,63,0.6552229523658752
Paul Gerhardt,What is the meaning of the Latin title 'Praxis pietatis melica'?,Practice of Piety in Song,retain,60,0.6553293466567993
Tonino Cervi,What award did Mario Monicelli receive for his career?,Mario Monicelli received the Golden Lion for his career.,retain,61,0.6560109257698059
Christian Krohg,When was Gunnar Heiberg born?,18 November 1857,retain,51,0.6560797691345215
Józef Oleksy,What must the Prime Minister of Poland do within fourteen days following their appointment?,"Submit a programme outlining the government's agenda to the Sejm, requiring a vote of confidence.",retain,71,0.6561124920845032
Helen Greiner,What is Rodney Allen Brooks known for in the field of robotics?,Popularizing the actionist approach to robotics.,retain,59,0.6565173864364624
Ted Kooser,Which magazine does Kwame Dawes serve as editor-in-chief?,Prairie Schooner,retain,55,0.6569128036499023
Fatmir Sejdiu,What significant event did Fatmir Sejdiu lead Kosovo through as president?,Declaration of Independence of Kosovo,forget,58,0.6571256518363953
Alfred Vogel,What significant event involving local peasants occurred in Thurgau in 1524?,"Local peasants occupied the cloister of Ittingen, driving out monks and destroying documents.",retain,71,0.6575861573219299
Benedetto Varchi,What are the main subdivisions of Tuscan dialects?,"Northern Tuscan dialects, Southern Tuscan dialects, and Corsican",,63,0.6582315564155579
Iwan Wirth,How much did Iwan Wirth and his wife donate to Cal State LA?,$1 million,forget,56,0.6584846377372742
Elsa Triolet,Which avant-garde journal did Osip Brik co-found with Vladimir Mayakovsky?,Left Front of Art (LEF),retain,63,0.6587207913398743
Alexandre Mouton,What is the term limit for members of the Louisiana House of Representatives?,Three terms (twelve years),retain,58,0.6592312455177307
Wilhelm Wattenbach,What is the Monumenta Germaniae Historica?,"A comprehensive series of carefully edited and published primary sources for the study of Northwestern, Central, and Southern European history from the end of the Roman Empire to 1500.",,81,0.6595628261566162
Gottfried Heinrich Graf zu Pappenheim,What nickname was Gustavus Adolphus given due to his involvement in the Thirty Years' War?,The Lion from the North,retain,63,0.6596746444702148
Johann Rudolf Wyss,Who is believed to have founded the city of Bern?,"Berthold V, Duke of Zähringen",retain,58,0.6597414016723633
A. B. Guthrie Jr.,What historical period does 'The Way West' cover in its depiction of the Oregon Trail and Montana's development?,From 1830 to the near present of the 1880s cattle empire,retain,75,0.6600609421730042
Simone Young,What are some of the major tourist attractions in Sydney?,Sydney Harbour Bridge and the Sydney Opera House,retain,57,0.6607719659805298
Siegfried Lenz,What was the main purpose of Group 47's meetings?,"Literary criticism and promotion of young, unknown authors.",retain,60,0.6611871719360352
Karl-Otto Apel,What is the Order of Merit of the Federal Republic of Germany?,"It is the only federal decoration of Germany, awarded for special achievements in political, economic, cultural, intellectual, or honorary fields.",retain,77,0.6620158553123474
"Frederick I, Duke of Lorraine",What is the oldest city in Poland that is located in Greater Poland?,Kalisz,retain,54,0.6622996926307678
Thomas Baines,What nature reserve is named after Thomas Baines?,The Thomas Baines Nature Reserve in the Eastern Cape of South Africa,forget,60,0.6626933813095093
P. A. Yeomans,What is the capital city of New South Wales?,Sydney,retain,49,0.6633812189102173
Jorge Semprún,Where and when is the awards ceremony for the Ovid Prize held?,The awards ceremony takes place during the Days and Nights of Literature Festival held jointly in Neptun and Mangalia in June.,retain,76,0.6641356348991394
Alexandre Mouton,"Who is the current Governor of Louisiana as of January 8, 2024?",Republican Jeff Landry.,retain,59,0.6649141311645508
Chico O'Farrill,What is the title of the suite that best summarizes Chico O'Farrill's fusion of musical styles?,Afro-Cuban Jazz Suite,forget,67,0.6657120585441589
Amy Clampitt,Where is the headquarters of the American Academy of Arts and Letters located?,"In the Washington Heights neighborhood of Manhattan, New York City.",retain,63,0.6658830046653748
Abbott Lawrence,What geographical features dominate the western and northern regions of New England?,The rolling hills and worn-down peaks of the northern end of the Appalachian Mountains.,retain,66,0.6661565899848938
Alicia de Larrocha,What is the original name of the Grammy Awards?,Gramophone Awards,retain,50,0.6663576364517212
Alfred Büchi,In which year is the birth of the turbocharging era acknowledged due to Alfred Büchi's invention?,1905,forget,59,0.6664533615112305
Ida Rolf,What is the name of the practice that Ida Rolf created?,Structural Integration or Rolfing,forget,58,0.6670222282409668
Benedetto Varchi,Who was Piero Strozzi's father?,Filippo Strozzi the Younger,,55,0.667338490486145
Rudolf Christoph Eucken,What was the main objective of Lotze's later works regarding human organism?,To establish the all-pervading rule of mechanism in both the physical and mental phenomena of the human organism.,retain,74,0.6674093008041382
Émile Boirac,What UNESCO designation does the historical centre of Dijon hold?,World Heritage site,retain,53,0.6680980324745178
Michael Tiemann,Is GNOME open-source?,Yes,retain,43,0.6685475707054138
Hermann Maas,What was the primary opposition of the Confessing Church in Nazi Germany?,The Confessing Church opposed government efforts to unify Protestant churches into a single pro-Nazi German Evangelical Church.,retain,74,0.6693572402000427
Alexandre Mouton,What is the term length for a member of the Louisiana House of Representatives?,Four-year terms,retain,55,0.6697260141372681
"Waleran III, Duke of Limburg","What was the relation of Waleran III, Duke of Limburg's child Henry V to Luxembourg?",Count of Luxembourg,forget,61,0.6699265837669373
William Roper,What are the two Areas of Outstanding Natural Beauty located in Kent?,the North Downs and The High Weald,retain,58,0.6702370047569275
"Waleran III, Duke of Limburg","Did Waleran III, Duke of Limburg have any children with Ermesinda of Luxembourg?",Yes,forget,59,0.670983612537384
Ernest Ansermet,What made the Ballets Russes considered the most influential ballet company of the 20th century?,"It promoted ground-breaking artistic collaborations among young choreographers, composers, designers, and dancers.",retain,75,0.6711266040802002
Rudolf Christoph Eucken,What was the main reason Rudolf Christoph Eucken received the Nobel Prize?,For his idealistic philosophy of life,forget,59,0.6712759733200073
Géza Maróczy,What significant contribution did Max Euwe make to the field of computer programming?,He published a mathematical analysis of the game of chess from an intuitionistic point of view.,retain,70,0.6713002920150757
Alicia de Larrocha,Where was Alicia de Larrocha born?,"Barcelona, Catalonia, Spain",forget,52,0.6714349985122681
Karl Hartl,For which film company did Karl Hartl work for from 1930?,Universum Film AG (UFA),forget,60,0.6717889308929443
Iwan Wirth,How far is Braemar from Aberdeen?,58 miles (93 km),retain,52,0.6719357967376709
Alfred H. Colquitt,What was the primary command structure of the Department of Northern Virginia?,The Army of Northern Virginia,retain,55,0.6720997095108032
Guillermo Cabrera Infante,How does Joycean literature differ from traditional prose?,"Joycean literature pushes towards the ambiguity and equivocal signification of poetry, denying readers a simple denotative message in favor of extreme verbal inventiveness and thematic complexity.",retain,81,0.6722670197486877
Amy Clampitt,What group of colleges is Smith College a member of?,Smith College is a member of the historic Seven Sisters colleges.,retain,60,0.6726178526878357
Thomas Klestil,Where was Thomas Klestil buried?,Vienna's Central Cemetery (Zentralfriedhof),forget,57,0.6727752685546875
Christian Krohg,"Who is the council leader of Vestre Aker, and from which party?",Yngvar Husebye from the Conservative Party,retain,63,0.6730763912200928
Gottfried Heinrich Graf zu Pappenheim,In which district is Treuchtlingen located?,Weißenburg-Gunzenhausen,retain,53,0.6735780239105225
Christian Krohg,What role did Christian Krohg have at the Norwegian Commissioner at the Exposition Internationale d'Anvers?,Served as Norwegian Commissioner,forget,64,0.6741943359375
Moshe Greenberg,Who endowed the Katz Center in 2008 and why?,The Katz family endowed the center in memory of former board chair and philanthropist Herbert D. Katz.,retain,70,0.674383282661438
Red Badgro,Which NFL Championship team was Red Badgro a member of in 1934?,New York Giants,forget,56,0.6746993064880371
Heinz Erhardt,What treaty did the Kriegsmarine violate by expanding in the 1930s?,The Treaty of Versailles,retain,60,0.6751777529716492
Alfred Büchi,"What was named after Alfred Büchi in Neuwiesenquartier, Winterthur, in summer 2012?",Alfred Büchi Way,forget,66,0.6756026744842529
Karl Hartl,What is the genre of 'The Man Who Was Sherlock Holmes'?,Mystery comedy,retain,53,0.6756497621536255
Emil Wiechert,Which academy named Emil Wiechert as a corresponding member in 1912?,Berlin Academy of Science,forget,57,0.6758959293365479
Andreas Wenzel,How many municipalities is Liechtenstein divided into?,11,retain,48,0.6761115789413452
Amy Clampitt,What types of exhibits does the American Academy of Arts and Letters showcase?,"Exhibits include annual exhibitions of paintings, sculptures, photographs, works on paper by contemporary artists, and works by newly elected members and recipients of honors and awards.",retain,84,0.6766708493232727
William Roper,What major roads pass through Well Hall?,The South Circular Road and A2 road pass through Well Hall.,retain,58,0.6772607564926147
P. A. Yeomans,What is the western border of New South Wales?,South Australia,retain,49,0.6776587963104248
Ann Brashares,Which book in the series was adapted into a film titled The Sisterhood of the Traveling Pants 2?,The Second Summer of the Sisterhood,retain,66,0.6778559684753418
Werner Janensch,What was Friedrich von Huene's original name?,Friedrich Richard von Hoinigen,retain,55,0.6786900758743286
Eve Arnold,When did Russia adopt Orthodox Christianity?,In 988,retain,47,0.6787769794464111
Marianne Brandt,What is the population of Gotha?,"44,000",retain,48,0.6787992715835571
Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,forget,56,0.6798407435417175
Bruce Graham,What are the main economic activities in Peru?,"Mining, manufacturing, agriculture, and fishing",retain,54,0.6799111366271973
Helen Greiner,Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Pioneer Award,forget,62,0.680670976638794
Elizabeth Manley,Who were Elizabeth Ann Manley's main competitors at the 1988 Winter Olympics?,Katarina Witt and Debi Thomas,forget,62,0.6811721920967102
Theopompus,What field was Ulrich von Wilamowitz-Moellendorff renowned in?,Classical philology,retain,58,0.6821274161338806
Benedetto Varchi,What industries contributed to Montevarchi's growth during the Medici rule?,Agricultural trade and its wool and silk industries,,62,0.6826381087303162
Alfred Vogel,Who acquired NRC Media group in 2015?,Mediahuis,retain,51,0.6826431155204773
Edward Adelbert Doisy,Was Edward Adelbert Doisy awarded the Nobel Prize in Chemistry for the discovery of estrone?,No,forget,58,0.6827767491340637
Erwin Baur,What plant genus was named in honor of Otto Renner?,Rennera,retain,52,0.6829926371574402
Gaston Eyskens,What are the names of the 4 Clusters of Excellence at the University of Cologne?,"CECAD Cluster of Excellence for Aging Research, Cluster of Excellence ECONtribute: Markets & Public Policy, CEPLAS Cluster of Excellence for Plant Sciences, Cluster of Excellence Matter and Light for Quantum Information (ML4Q)",retain,100,0.6829932928085327
Henryk Grossman,What is Leipzig known for in terms of music?,"Leipzig has been a major centre for music, including classical and modern dark wave.",retain,64,0.6830162405967712
Rudolf Christoph Eucken,When was Gustav Teichmüller born?,"November 19, 1832",retain,55,0.6835942268371582
José Batlle y Ordóñez,Where was José Batlle y Ordóñez born?,"Montevideo, Uruguay",forget,54,0.6843118667602539
A. B. Guthrie Jr.,"What is Richmond, Indiana, famously known as in the context of jazz music?",The cradle of recorded jazz,retain,59,0.684990644454956
Karl-Otto Apel,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,Theory of communicative action and discourse ethics,forget,67,0.6860001683235168
Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,forget,57,0.6861485242843628
Frank R. Paul,"Which two authors are most identified with Planet Stories, particularly for their stories set on Mars?",Leigh Brackett and Ray Bradbury,retain,63,0.6864827275276184
Alicia de Larrocha,Who owns Reuters?,Thomson Reuters Corporation,retain,46,0.6865853071212769
A. B. Guthrie Jr.,What is the flagship campus of Indiana University?,Indiana University Bloomington (IU Bloomington),retain,55,0.6875101327896118
